#coronavirus,, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
incubation, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
/, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
let's, p_yes: 0.00030244119700507976, p_no: 0.0007075172831336327, c_yes: 2, c_no: 2
has, p_yes: 0.007524917543395045, p_no: 0.0014115145797840135, c_yes: 50, c_no: 4
were, p_yes: 0.0016566555119531983, p_no: 3.519986483251904e-06, c_yes: 11, c_no: 0
shared, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
single, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
tonight, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
desire, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
as, p_yes: 0.004666020656282351, p_no: 0.005635498359686299, c_yes: 31, c_no: 16
@fifacom, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
world., p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
responsible, p_yes: 0.00030244119700507976, p_no: 0.001059515931458823, c_yes: 2, c_no: 3
an, p_yes: 0.003161338084117775, p_no: 0.0038755051180603467, c_yes: 21, c_no: 11
issue., p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
lives., p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
hatred, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
staying, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
outside, p_yes: 0.000603377711437995, p_no: 0.001059515931458823, c_yes: 4, c_no: 3
within, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
hear, p_yes: 0.00030244119700507976, p_no: 0.0021155118764343943, c_yes: 2, c_no: 6
information, p_yes: 0.0010547824830873678, p_no: 0.0007075172831336327, c_yes: 7, c_no: 2
14, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
west, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
2, p_yes: 0.001355718997520283, p_no: 0.0007075172831336327, c_yes: 9, c_no: 2
virus?, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
it’s, p_yes: 0.0010547824830873678, p_no: 0.001059515931458823, c_yes: 7, c_no: 3
new, p_yes: 0.0027099333124684017, p_no: 0.0007075172831336327, c_yes: 18, c_no: 2
sharing, p_yes: 0.000603377711437995, p_no: 0.00035551863480844234, c_yes: 4, c_no: 1
time., p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
administration,, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
positive, p_yes: 0.0010547824830873678, p_no: 3.519986483251904e-06, c_yes: 7, c_no: 0
built, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
police, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
blood, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
duty, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
office, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
testing, p_yes: 0.001807123769169656, p_no: 0.001763513228109204, c_yes: 12, c_no: 5
hate, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
hands, p_yes: 0.0009043142258709102, p_no: 3.519986483251904e-06, c_yes: 6, c_no: 0
age, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
justice, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
too, p_yes: 0.0001519729397886222, p_no: 0.0007075172831336327, c_yes: 1, c_no: 2
disregard, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
news., p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
no, p_yes: 0.0036127428557671476, p_no: 0.0021155118764343943, c_yes: 24, c_no: 6
looking, p_yes: 0.0004529094542215374, p_no: 0.0007075172831336327, c_yes: 3, c_no: 2
wuhan, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
says., p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
disinformation., p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
website, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
until, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
&, p_yes: 0.00030244119700507976, p_no: 0.001059515931458823, c_yes: 2, c_no: 3
patients, p_yes: 0.001355718997520283, p_no: 0.00035551863480844234, c_yes: 9, c_no: 1
party, p_yes: 0.000603377711437995, p_no: 3.519986483251904e-06, c_yes: 4, c_no: 0
again., p_yes: 0.0004529094542215374, p_no: 0.00035551863480844234, c_yes: 3, c_no: 1
fake., p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
failure, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
avoid, p_yes: 0.0004529094542215374, p_no: 0.0007075172831336327, c_yes: 3, c_no: 2
providing, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
sneeze, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
filled, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
while, p_yes: 0.0007538459686544526, p_no: 0.00035551863480844234, c_yes: 5, c_no: 1
him, p_yes: 0.00030244119700507976, p_no: 0.0021155118764343943, c_yes: 2, c_no: 6
youâd, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
today,, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
read, p_yes: 0.0007538459686544526, p_no: 0.001059515931458823, c_yes: 5, c_no: 3
sars-cov-2, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
information., p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
via, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
enough, p_yes: 0.0009043142258709102, p_no: 0.0007075172831336327, c_yes: 6, c_no: 2
worse, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
outbreak, p_yes: 0.000603377711437995, p_no: 3.519986483251904e-06, c_yes: 4, c_no: 0
messages, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
used, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
w/, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
current, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
educate, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
test, p_yes: 0.0016566555119531983, p_no: 0.0014115145797840135, c_yes: 11, c_no: 4
did, p_yes: 0.0015061872547367408, p_no: 0.0007075172831336327, c_yes: 10, c_no: 2
travel, p_yes: 0.0009043142258709102, p_no: 3.519986483251904e-06, c_yes: 6, c_no: 0
experts., p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
media, p_yes: 0.001355718997520283, p_no: 0.0007075172831336327, c_yes: 9, c_no: 2
travellers, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
sure, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
hard, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
rumors., p_yes: 0.000603377711437995, p_no: 3.519986483251904e-06, c_yes: 4, c_no: 0
care., p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
look, p_yes: 0.000603377711437995, p_no: 0.0007075172831336327, c_yes: 4, c_no: 2
“corona, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
scam, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
fully, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
u, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
stop, p_yes: 0.0019575920263861135, p_no: 0.0007075172831336327, c_yes: 13, c_no: 2
needs, p_yes: 0.0004529094542215374, p_no: 0.001059515931458823, c_yes: 3, c_no: 3
may, p_yes: 0.0007538459686544526, p_no: 0.0007075172831336327, c_yes: 5, c_no: 2
days., p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
caused, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
spread, p_yes: 0.004214615884632978, p_no: 0.001763513228109204, c_yes: 28, c_no: 5
nurse, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
shameful, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
different, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
almost, p_yes: 0.0004529094542215374, p_no: 0.00035551863480844234, c_yes: 3, c_no: 1
cost, p_yes: 0.0004529094542215374, p_no: 0.00035551863480844234, c_yes: 3, c_no: 1
(including, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
insider, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
ensure, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
government,, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
safety, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
patna., p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
tests, p_yes: 0.000603377711437995, p_no: 0.0007075172831336327, c_yes: 4, c_no: 2
hence,, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
quarantine, p_yes: 0.000603377711437995, p_no: 0.0007075172831336327, c_yes: 4, c_no: 2
family, p_yes: 0.0001519729397886222, p_no: 0.001059515931458823, c_yes: 1, c_no: 3
trump, p_yes: 0.0021080602836025713, p_no: 0.001763513228109204, c_yes: 14, c_no: 5
â£574.70, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
ask, p_yes: 0.0009043142258709102, p_no: 0.001059515931458823, c_yes: 6, c_no: 3
uk, p_yes: 0.000603377711437995, p_no: 3.519986483251904e-06, c_yes: 4, c_no: 0
now, p_yes: 0.003311806341334232, p_no: 0.0014115145797840135, c_yes: 22, c_no: 4
better, p_yes: 0.00030244119700507976, p_no: 0.0007075172831336327, c_yes: 2, c_no: 2
trust, p_yes: 0.0001519729397886222, p_no: 0.0007075172831336327, c_yes: 1, c_no: 2
whatsapp, p_yes: 0.0004529094542215374, p_no: 0.00035551863480844234, c_yes: 3, c_no: 1
tapper, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
across, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
place, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
allegedly, p_yes: 0.0010547824830873678, p_no: 3.519986483251904e-06, c_yes: 7, c_no: 0
never, p_yes: 0.0009043142258709102, p_no: 0.001059515931458823, c_yes: 6, c_no: 3
i, p_yes: 0.007374449286178588, p_no: 0.013027469974515296, c_yes: 49, c_no: 37
further, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
died, p_yes: 0.001355718997520283, p_no: 3.519986483251904e-06, c_yes: 9, c_no: 0
my, p_yes: 0.003311806341334232, p_no: 0.00633949565633668, c_yes: 22, c_no: 18
4, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
corona, p_yes: 0.005568830199581096, p_no: 0.013379468622840488, c_yes: 37, c_no: 38
#coronvirus, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
coronavirus, p_yes: 0.0022585285408190285, p_no: 0.0014115145797840135, c_yes: 15, c_no: 4
viral, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
phd, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
massive, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
donate, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
came, p_yes: 0.000603377711437995, p_no: 3.519986483251904e-06, c_yes: 4, c_no: 0
states, p_yes: 0.0007538459686544526, p_no: 3.519986483251904e-06, c_yes: 5, c_no: 0
resign., p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
out, p_yes: 0.0015061872547367408, p_no: 0.004227503766385537, c_yes: 10, c_no: 12
back, p_yes: 0.0010547824830873678, p_no: 0.0007075172831336327, c_yes: 7, c_no: 2
here’s, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
#covid_19, p_yes: 0.000603377711437995, p_no: 0.0007075172831336327, c_yes: 4, c_no: 2
hoax., p_yes: 0.0009043142258709102, p_no: 0.0007075172831336327, c_yes: 6, c_no: 2
week, p_yes: 0.0009043142258709102, p_no: 0.0007075172831336327, c_yes: 6, c_no: 2
tweeting, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
deadly, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
heart, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
returning, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
covid, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
leadership, p_yes: 0.0004529094542215374, p_no: 0.00035551863480844234, c_yes: 3, c_no: 1
between, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
allows, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
germany, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
probably, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
stop., p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
past, p_yes: 0.000603377711437995, p_no: 0.00035551863480844234, c_yes: 4, c_no: 1
something, p_yes: 0.0007538459686544526, p_no: 0.001059515931458823, c_yes: 5, c_no: 3
blame, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
leave,, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
states., p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
results, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
america, p_yes: 0.0001519729397886222, p_no: 0.0007075172831336327, c_yes: 1, c_no: 2
warned, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
taking, p_yes: 0.0004529094542215374, p_no: 0.0007075172831336327, c_yes: 3, c_no: 2
shut, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
instead, p_yes: 0.000603377711437995, p_no: 3.519986483251904e-06, c_yes: 4, c_no: 0
called, p_yes: 0.0012052507403038256, p_no: 0.00035551863480844234, c_yes: 8, c_no: 1
great, p_yes: 0.000603377711437995, p_no: 0.001059515931458823, c_yes: 4, c_no: 3
there, p_yes: 0.003161338084117775, p_no: 0.0021155118764343943, c_yes: 21, c_no: 6
since, p_yes: 0.0012052507403038256, p_no: 3.519986483251904e-06, c_yes: 8, c_no: 0
strong, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
pop, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
italian, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
iran, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
economy., p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
enemy, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
🥰, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
covid-19, p_yes: 0.009631473144425452, p_no: 0.010211480787913774, c_yes: 64, c_no: 29
wash, p_yes: 0.000603377711437995, p_no: 0.00035551863480844234, c_yes: 4, c_no: 1
-, p_yes: 0.004666020656282351, p_no: 0.0031715078214099657, c_yes: 31, c_no: 9
accountability, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
beer, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
inside, p_yes: 0.000603377711437995, p_no: 3.519986483251904e-06, c_yes: 4, c_no: 0
vietnam, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
local, p_yes: 0.0001519729397886222, p_no: 0.001059515931458823, c_yes: 1, c_no: 3
distancing, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
rate, p_yes: 0.000603377711437995, p_no: 3.519986483251904e-06, c_yes: 4, c_no: 0
maybe, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
can't, p_yes: 0.0004529094542215374, p_no: 0.0007075172831336327, c_yes: 3, c_no: 2
israelis, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
work, p_yes: 0.0016566555119531983, p_no: 3.519986483251904e-06, c_yes: 11, c_no: 0
effort, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
minister, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
death, p_yes: 0.0015061872547367408, p_no: 0.00035551863480844234, c_yes: 10, c_no: 1
health., p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
kits, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
trying, p_yes: 0.0001519729397886222, p_no: 0.0014115145797840135, c_yes: 1, c_no: 4
paid, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
saif, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
need, p_yes: 0.0016566555119531983, p_no: 0.0028195091730847752, c_yes: 11, c_no: 8
#covid19, p_yes: 0.005719298456797554, p_no: 0.0031715078214099657, c_yes: 38, c_no: 9
friends., p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
less, p_yes: 0.00030244119700507976, p_no: 0.0007075172831336327, c_yes: 2, c_no: 2
then, p_yes: 0.0010547824830873678, p_no: 0.0014115145797840135, c_yes: 7, c_no: 4
access, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
corona., p_yes: 0.0004529094542215374, p_no: 0.00035551863480844234, c_yes: 3, c_no: 1
toilet, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
testing,, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
milan, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
everyone, p_yes: 0.000603377711437995, p_no: 0.0028195091730847752, c_yes: 4, c_no: 8
don’t, p_yes: 0.0012052507403038256, p_no: 0.001059515931458823, c_yes: 8, c_no: 3
conspiracy, p_yes: 0.0004529094542215374, p_no: 0.00035551863480844234, c_yes: 3, c_no: 1
also, p_yes: 0.0010547824830873678, p_no: 0.00035551863480844234, c_yes: 7, c_no: 1
quit, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
delete, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
schools, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
disease., p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
#indiafightscorona, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
#covid19,, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
self, p_yes: 0.000603377711437995, p_no: 0.001059515931458823, c_yes: 4, c_no: 3
article, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
still, p_yes: 0.0016566555119531983, p_no: 0.001059515931458823, c_yes: 11, c_no: 3
immune, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
by, p_yes: 0.004816488913498808, p_no: 0.004931501063035918, c_yes: 32, c_no: 14
briefing, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
love, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
tied, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
confirmed, p_yes: 0.001807123769169656, p_no: 3.519986483251904e-06, c_yes: 12, c_no: 0
masks, p_yes: 0.000603377711437995, p_no: 3.519986483251904e-06, c_yes: 4, c_no: 0
corona,, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
only, p_yes: 0.001807123769169656, p_no: 0.001763513228109204, c_yes: 12, c_no: 5
us., p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
said,, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
texas,, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
give, p_yes: 0.0004529094542215374, p_no: 0.0007075172831336327, c_yes: 3, c_no: 2
chloroquine, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
top, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
believe, p_yes: 0.0001519729397886222, p_no: 0.001059515931458823, c_yes: 1, c_no: 3
against, p_yes: 0.001355718997520283, p_no: 0.0007075172831336327, c_yes: 9, c_no: 2
them., p_yes: 0.0001519729397886222, p_no: 0.0007075172831336327, c_yes: 1, c_no: 2
panic, p_yes: 0.0009043142258709102, p_no: 0.0014115145797840135, c_yes: 6, c_no: 4
least, p_yes: 0.0004529094542215374, p_no: 0.00035551863480844234, c_yes: 3, c_no: 1
kind, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
@hhsgov, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
bro, p_yes: 1.5046825721645762e-06, p_no: 0.001059515931458823, c_yes: 0, c_no: 3
aged, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
safety., p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
india., p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
crisis, p_yes: 0.0004529094542215374, p_no: 0.0007075172831336327, c_yes: 3, c_no: 2
epidemiologist, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
want, p_yes: 0.001355718997520283, p_no: 0.0024675105247595848, c_yes: 9, c_no: 7
good, p_yes: 0.00030244119700507976, p_no: 0.0014115145797840135, c_yes: 2, c_no: 4
quarantined, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
for, p_yes: 0.01354364783205335, p_no: 0.011971474029539726, c_yes: 90, c_no: 34
around, p_yes: 0.0007538459686544526, p_no: 0.0014115145797840135, c_yes: 5, c_no: 4
chief, p_yes: 0.000603377711437995, p_no: 3.519986483251904e-06, c_yes: 4, c_no: 0
closed, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
died., p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
incl, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
listen, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
allow, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
6., p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
@secpompeo, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
don't, p_yes: 0.0015061872547367408, p_no: 0.001763513228109204, c_yes: 10, c_no: 5
desist, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
white, p_yes: 0.0001519729397886222, p_no: 0.0014115145797840135, c_yes: 1, c_no: 4
minimize, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
another, p_yes: 0.0007538459686544526, p_no: 0.00035551863480844234, c_yes: 5, c_no: 1
keep, p_yes: 0.0001519729397886222, p_no: 0.001763513228109204, c_yes: 1, c_no: 5
small, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
woman, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
respiratory, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
paul,, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
netanyahu, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
harvey, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
why, p_yes: 0.0010547824830873678, p_no: 0.0024675105247595848, c_yes: 7, c_no: 7
selling, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
trip, p_yes: 0.000603377711437995, p_no: 3.519986483251904e-06, c_yes: 4, c_no: 0
adequate, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
