reports, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
believe, p_yes: 0.00012279635258358662, p_no: 0.0007235576923076923
illness, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
twitter, p_yes: 0.0004875379939209726, p_no: 0.0004831730769230769
millennials, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
states, p_yes: 0.0009738601823708206, p_no: 2.403846153846154e-06
johnson, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
around, p_yes: 0.0006091185410334346, p_no: 0.0009639423076923077
campaign, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
true, p_yes: 0.0002443768996960486, p_no: 0.0004831730769230769
leadership, p_yes: 0.0004875379939209726, p_no: 0.00024278846153846155
wed, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
workers, p_yes: 0.0010954407294832826, p_no: 0.001204326923076923
patient, p_yes: 0.0004875379939209726, p_no: 0.00024278846153846155
scam, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
die, p_yes: 0.0009738601823708206, p_no: 0.0009639423076923077
here, p_yes: 0.0008522796352583587, p_no: 0.0014447115384615384
doesnt, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
functioning, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
which, p_yes: 0.0008522796352583587, p_no: 2.403846153846154e-06
state, p_yes: 0.0007306990881458966, p_no: 2.403846153846154e-06
2019, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
taking, p_yes: 0.00036595744680851063, p_no: 0.0004831730769230769
ny, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
china, p_yes: 0.002311246200607903, p_no: 0.00024278846153846155
tell, p_yes: 0.00036595744680851063, p_no: 0.0004831730769230769
stopping, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
nytimes, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
refused, p_yes: 0.0004875379939209726, p_no: 0.00024278846153846155
across, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
response, p_yes: 0.0004875379939209726, p_no: 2.403846153846154e-06
doctors, p_yes: 0.0004875379939209726, p_no: 0.0007235576923076923
nurses, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
conditions, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
viewers, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
results, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
actually, p_yes: 0.00036595744680851063, p_no: 0.0004831730769230769
is, p_yes: 0.017022492401215804, p_no: 0.015146634615384616
fox, p_yes: 0.0002443768996960486, p_no: 0.0004831730769230769
say, p_yes: 0.0004875379939209726, p_no: 0.001204326923076923
italy, p_yes: 0.0008522796352583587, p_no: 2.403846153846154e-06
challenge, p_yes: 0.00012279635258358662, p_no: 0.0004831730769230769
sensationalism, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
staff, p_yes: 0.00036595744680851063, p_no: 0.00024278846153846155
25, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
and, p_yes: 0.019332522796352582, p_no: 0.016588942307692308
killed, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
says, p_yes: 0.0010954407294832826, p_no: 0.00024278846153846155
prevent, p_yes: 0.0004875379939209726, p_no: 2.403846153846154e-06
tried, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
vietnam, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
thing, p_yes: 0.0007306990881458966, p_no: 0.0007235576923076923
chinese, p_yes: 0.0007306990881458966, p_no: 0.0007235576923076923
note, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
fine, p_yes: 0.0004875379939209726, p_no: 0.00024278846153846155
lead, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
amp, p_yes: 0.004621276595744681, p_no: 0.0016850961538461538
hhsgov, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
fat, p_yes: 1.21580547112462e-06, p_no: 0.0007235576923076923
tiny, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
communist, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
friend, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
wont, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
symptoms, p_yes: 0.0013386018237082067, p_no: 2.403846153846154e-06
benefits, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
handle, p_yes: 0.00012279635258358662, p_no: 0.0004831730769230769
members, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
hope, p_yes: 0.0004875379939209726, p_no: 0.0007235576923076923
cool, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
knew, p_yes: 0.0007306990881458966, p_no: 2.403846153846154e-06
la, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
“change, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
that, p_yes: 0.009484498480243162, p_no: 0.008656249999999999
nurse, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
lack, p_yes: 0.0006091185410334346, p_no: 0.00024278846153846155
was, p_yes: 0.0038917933130699087, p_no: 0.00240625
come, p_yes: 0.00036595744680851063, p_no: 0.00024278846153846155
prepare, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
last, p_yes: 0.0009738601823708206, p_no: 0.00024278846153846155
anyone, p_yes: 0.00036595744680851063, p_no: 0.0007235576923076923
germany, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
city, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
y’all, p_yes: 0.0004875379939209726, p_no: 0.0019254807692307692
little, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
29, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
numbers, p_yes: 0.0004875379939209726, p_no: 0.0004831730769230769
more, p_yes: 0.0017033434650455927, p_no: 0.0014447115384615384
corporate, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
wake, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
warning, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
false, p_yes: 0.0006091185410334346, p_no: 0.00024278846153846155
17, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
cant, p_yes: 0.00036595744680851063, p_no: 0.0007235576923076923
rate, p_yes: 0.0007306990881458966, p_no: 2.403846153846154e-06
governments, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
fifaworldcup, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
dereliction, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
guy, p_yes: 0.00036595744680851063, p_no: 0.00024278846153846155
sensible, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
working, p_yes: 0.00036595744680851063, p_no: 0.0004831730769230769
beer, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
thank, p_yes: 0.00036595744680851063, p_no: 0.0009639423076923077
damages, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
worldwide, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
parents, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
amnesty, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
relief, p_yes: 0.0004875379939209726, p_no: 2.403846153846154e-06
night, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
americans, p_yes: 0.0004875379939209726, p_no: 2.403846153846154e-06
antiviral, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
making, p_yes: 0.0004875379939209726, p_no: 0.0004831730769230769
home, p_yes: 0.001946504559270517, p_no: 0.0004831730769230769
am, p_yes: 0.0006091185410334346, p_no: 0.0004831730769230769
under, p_yes: 0.0007306990881458966, p_no: 0.00024278846153846155
uae, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
took, p_yes: 0.00012279635258358662, p_no: 0.0007235576923076923
report, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
stock, p_yes: 0.0008522796352583587, p_no: 2.403846153846154e-06
when, p_yes: 0.0009738601823708206, p_no: 0.0033677884615384616
with, p_yes: 0.005593920972644377, p_no: 0.006973557692307693
old, p_yes: 0.0006091185410334346, p_no: 0.00024278846153846155
pakistan, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
disaster, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
critical, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
aged, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
unacceptable, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
showing, p_yes: 0.00012279635258358662, p_no: 0.0007235576923076923
published, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
president, p_yes: 0.0009738601823708206, p_no: 0.0009639423076923077
minimize, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
won, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
economy, p_yes: 0.00012279635258358662, p_no: 0.0004831730769230769
hold, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
data, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
deny, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
confirmed, p_yes: 0.0014601823708206686, p_no: 2.403846153846154e-06
cases, p_yes: 0.0038917933130699087, p_no: 0.00024278846153846155
shortage, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
lie, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
trust, p_yes: 0.00012279635258358662, p_no: 0.0004831730769230769
nature, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
quit, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
white, p_yes: 0.00012279635258358662, p_no: 0.0009639423076923077
few, p_yes: 0.0002443768996960486, p_no: 0.0004831730769230769
had, p_yes: 0.0014601823708206686, p_no: 0.0009639423076923077
strange, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
parliament, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
status, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
taal, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
happened, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
news, p_yes: 0.0020680851063829787, p_no: 0.001204326923076923
said, p_yes: 0.0006091185410334346, p_no: 0.0007235576923076923
donate, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
must, p_yes: 0.00036595744680851063, p_no: 0.00024278846153846155
singapore, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
flights, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
this, p_yes: 0.009606079027355623, p_no: 0.01130048076923077
extent, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
briefings, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
article, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
recommendations, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
used, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
insider, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
seeing, p_yes: 0.00036595744680851063, p_no: 0.00024278846153846155
can’t, p_yes: 0.00012279635258358662, p_no: 0.0007235576923076923
order, p_yes: 0.00036595744680851063, p_no: 0.0004831730769230769
delete, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
office, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
died, p_yes: 0.0013386018237082067, p_no: 2.403846153846154e-06
massive, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
viral, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
whatsapp, p_yes: 0.0007306990881458966, p_no: 0.00024278846153846155
hospital, p_yes: 0.0015817629179331308, p_no: 0.0004831730769230769
adequate, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
retweet, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
guys, p_yes: 0.00012279635258358662, p_no: 0.0004831730769230769
“corona, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
fake, p_yes: 0.003283890577507599, p_no: 0.0016850961538461538
huge, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
instead, p_yes: 0.0008522796352583587, p_no: 2.403846153846154e-06
ng, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
room, p_yes: 0.00036595744680851063, p_no: 0.00024278846153846155
mild, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
pence, p_yes: 0.00012279635258358662, p_no: 0.0007235576923076923
party, p_yes: 0.0007306990881458966, p_no: 2.403846153846154e-06
among, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
would, p_yes: 0.0008522796352583587, p_no: 0.0016850961538461538
finally, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
couple, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
over, p_yes: 0.0018249240121580546, p_no: 0.0021658653846153846
remember, p_yes: 0.00012279635258358662, p_no: 0.0004831730769230769
students, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
us, p_yes: 0.002919148936170213, p_no: 0.00240625
travellers, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
propaganda, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
chronic, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
u, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
thursday, p_yes: 0.00036595744680851063, p_no: 0.00024278846153846155
grandpa, p_yes: 1.21580547112462e-06, p_no: 0.0007235576923076923
want, p_yes: 0.0010954407294832826, p_no: 0.0016850961538461538
wonât, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
less, p_yes: 0.0002443768996960486, p_no: 0.0004831730769230769
educate, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
such, p_yes: 0.00036595744680851063, p_no: 0.0004831730769230769
promise, p_yes: 0.00012279635258358662, p_no: 0.0004831730769230769
him, p_yes: 0.0007306990881458966, p_no: 0.0016850961538461538
talk, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
denied, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
world, p_yes: 0.0013386018237082067, p_no: 0.0009639423076923077
2020, p_yes: 0.00036595744680851063, p_no: 0.00024278846153846155
coronavirusindia, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
flu, p_yes: 0.0015817629179331308, p_no: 0.0009639423076923077
maybe, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
hate, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
contain, p_yes: 0.0008522796352583587, p_no: 0.00024278846153846155
within, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
increase, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
list, p_yes: 0.00012279635258358662, p_no: 0.0004831730769230769
whatever, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
survived, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
seriously, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
buying, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
back, p_yes: 0.0008522796352583587, p_no: 0.0007235576923076923
gloves, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
after, p_yes: 0.0014601823708206686, p_no: 0.0019254807692307692
need, p_yes: 0.0014601823708206686, p_no: 0.0019254807692307692
caused, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
mass, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
minister, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
senior, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
next, p_yes: 0.00036595744680851063, p_no: 0.00024278846153846155
yet, p_yes: 0.00036595744680851063, p_no: 0.0007235576923076923
respect, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
eating, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
still, p_yes: 0.0013386018237082067, p_no: 0.0007235576923076923
coronaoutbreak, p_yes: 0.00012279635258358662, p_no: 0.0004831730769230769
every, p_yes: 0.0007306990881458966, p_no: 0.001204326923076923
disease, p_yes: 0.0009738601823708206, p_no: 0.00024278846153846155
estimates, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
learn, p_yes: 0.0002443768996960486, p_no: 0.0004831730769230769
very, p_yes: 0.0002443768996960486, p_no: 0.0004831730769230769
allegedly, p_yes: 0.0009738601823708206, p_no: 2.403846153846154e-06
traditions, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
stopped, p_yes: 0.0004875379939209726, p_no: 0.00024278846153846155
albums, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
chief, p_yes: 0.0006091185410334346, p_no: 2.403846153846154e-06
further, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
228, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
happening, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
tied, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
families, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
media, p_yes: 0.0014601823708206686, p_no: 0.0007235576923076923
statedept, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
stake, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
spreads, p_yes: 0.0004875379939209726, p_no: 2.403846153846154e-06
than, p_yes: 0.0017033434650455927, p_no: 0.0009639423076923077
down, p_yes: 0.0008522796352583587, p_no: 2.403846153846154e-06
while, p_yes: 0.0006091185410334346, p_no: 0.00024278846153846155
where, p_yes: 0.0006091185410334346, p_no: 0.00024278846153846155
it, p_yes: 0.007052887537993921, p_no: 0.006012019230769231
help, p_yes: 0.0013386018237082067, p_no: 0.0009639423076923077
my, p_yes: 0.002675987841945289, p_no: 0.004569711538461539
infection, p_yes: 0.0006091185410334346, p_no: 2.403846153846154e-06
according, p_yes: 0.0004875379939209726, p_no: 2.403846153846154e-06
death, p_yes: 0.0014601823708206686, p_no: 0.00024278846153846155
life, p_yes: 0.0006091185410334346, p_no: 0.001204326923076923
show, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
covid, p_yes: 0.00036595744680851063, p_no: 0.00024278846153846155
coronavirusupdate, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
three, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
millions, p_yes: 0.0004875379939209726, p_no: 2.403846153846154e-06
ebola, p_yes: 0.00012279635258358662, p_no: 0.0004831730769230769
nothing, p_yes: 0.0004875379939209726, p_no: 0.00024278846153846155
age, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
turning, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
history, p_yes: 0.0004875379939209726, p_no: 0.00024278846153846155
war, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
here’s, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
ensure, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
sucks, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
fuck, p_yes: 0.0002443768996960486, p_no: 0.0009639423076923077
weeks, p_yes: 0.0014601823708206686, p_no: 0.0007235576923076923
man, p_yes: 0.0010954407294832826, p_no: 0.00024278846153846155
rona, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
january, p_yes: 0.0004875379939209726, p_no: 0.00024278846153846155
gone, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
really, p_yes: 0.0008522796352583587, p_no: 0.00024278846153846155
below, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
sorry, p_yes: 1.21580547112462e-06, p_no: 0.0007235576923076923
organization, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
immune, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
possible, p_yes: 0.0004875379939209726, p_no: 0.00024278846153846155
usa, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
doctor, p_yes: 0.00036595744680851063, p_no: 0.0007235576923076923
immediately, p_yes: 0.00036595744680851063, p_no: 0.00024278846153846155
22, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
er, p_yes: 0.0004875379939209726, p_no: 0.0007235576923076923
icu, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
announced, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
through, p_yes: 0.0008522796352583587, p_no: 0.0004831730769230769
sick, p_yes: 0.0014601823708206686, p_no: 0.0007235576923076923
malaysians, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
wow, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
gummies, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
filled, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
hunch, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
positive, p_yes: 0.0009738601823708206, p_no: 2.403846153846154e-06
seattle, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
16, p_yes: 0.00036595744680851063, p_no: 0.00024278846153846155
cities, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
sen, p_yes: 0.0004875379939209726, p_no: 2.403846153846154e-06
emergency, p_yes: 0.0008522796352583587, p_no: 0.0004831730769230769
accurate, p_yes: 0.00012279635258358662, p_no: 0.0004831730769230769
doc, p_yes: 0.00036595744680851063, p_no: 0.00024278846153846155
indias, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
available, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
incl, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
cold, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
hereâs, p_yes: 1.21580547112462e-06, p_no: 0.0009639423076923077
from, p_yes: 0.006080243161094225, p_no: 0.003608173076923077
system, p_yes: 0.00012279635258358662, p_no: 0.001204326923076923
two, p_yes: 0.0007306990881458966, p_no: 0.0007235576923076923
west, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
japan, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
remind, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
daily, p_yes: 0.0006091185410334346, p_no: 2.403846153846154e-06
trump, p_yes: 0.002189665653495441, p_no: 0.001204326923076923
different, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
gonna, p_yes: 0.00036595744680851063, p_no: 0.0007235576923076923
vegas, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
toilet, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
ppes, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
by, p_yes: 0.0038917933130699087, p_no: 0.0033677884615384616
week, p_yes: 0.0012170212765957446, p_no: 0.0004831730769230769
virus, p_yes: 0.006080243161094225, p_no: 0.007694711538461538
gives, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
production, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
pop, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
isolation, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
area, p_yes: 0.00036595744680851063, p_no: 0.0004831730769230769
havent, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
safe, p_yes: 0.00036595744680851063, p_no: 0.00024278846153846155
question, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
